name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
Chia,$296.43,-0.03,4.34,56.16,"$267,777,345","$1,370,641,736","19,438,213",https://coinmarketcap.com/currencies/chia-network/?period=7d,507316.25
NEM,$1.43,-0.34,1.58,-0.04,"$265,596,276","$9,277,600","3,431,892,088",https://coinmarketcap.com/currencies/nem/?period=7d,-74292.66
Blur,"$30,652.29",0.06,0.24,1.61,"$263,606,583","$98,334,502","157,076",https://coinmarketcap.com/currencies/blur-token/?period=7d,138.46
Ravencoin,$1.00,0.02,0.01,0.02,"$257,859,843","$93,570,507","4,647,521,448",https://coinmarketcap.com/currencies/ravencoin/?period=7d,51571.97
FLOKI,$13.15,0.17,1.66,-0.48,"$254,042,603","$138,944,556","345,635,799",https://coinmarketcap.com/currencies/floki-inu/?period=7d,-92730.38
Balancer,$0.0...07665,0.15,0.69,-0.72,"$249,752,346","$102,358,416","589,347,994,264,351",https://coinmarketcap.com/currencies/balancer/?period=7d,-23460.1
Osmosis,$1.00,0.0,0.01,0.0,"$246,771,124","$2,233,144,665","4,132,947,952",https://coinmarketcap.com/currencies/osmosis/?period=7d,0.0
yearn.finance,$3.93,0.52,-5.66,2.28,"$243,135,495","$1,794,682","929,938,144",https://coinmarketcap.com/currencies/yearn-finance/?period=7d,1410557.07
Decred,$6.53,-0.66,1.27,7.0,"$242,010,758","$227,607,605","538,099,970",https://coinmarketcap.com/currencies/decred/?period=7d,2594296.03
Centurion,$9.61,0.18,0.66,3.39,"$239,228,053","$65,962,483","346,608,690",https://coinmarketcap.com/currencies/centurion/?period=7d,843895.0
Holo,$5.57,-0.01,0.12,4.53,"$240,733,533","$84,003,753","577,501,036",https://coinmarketcap.com/currencies/holo/?period=7d,1957850.82
Theta Fuel,$167.68,-0.81,1.24,4.66,"$236,168,874","$55,706,349","18,299,933",https://coinmarketcap.com/currencies/theta-fuel/?period=7d,65633.76
Ankr,$0.9994,0.04,0.01,-0.06,"$234,315,078","$1,304,797,556","3,057,058,171",https://coinmarketcap.com/currencies/ankr/?period=7d,-1406.73
Global Currency Reserve,$0.1074,-0.14,0.6,17.45,"$232,437,479","$63,483,023","27,024,620,561",https://coinmarketcap.com/currencies/global-currency-reserve/?period=7d,3776567.98
STEPN,$20.33,0.58,-0.88,13.36,"$233,395,264","$296,218,892","141,741,234",https://coinmarketcap.com/currencies/green-metaverse-token/?period=7d,1533773.11
Kusama,$44.55,0.13,0.13,0.27,"$225,712,140","$2,305,268","60,000,000",https://coinmarketcap.com/currencies/kusama/?period=7d,13679.52
EthereumPoW,$2.10,-1.22,-2.86,10.68,"$225,549,024","$45,928,279","879,907,992",https://coinmarketcap.com/currencies/ethereum-pow/?period=7d,11470778.93
Bone ShibaSwap,$4.18,0.39,-0.28,-1.4,"$222,842,187","$11,467,659","437,669,984",https://coinmarketcap.com/currencies/bone-shibaswap/?period=7d,-746361.39
Solar,$4.11,0.31,0.55,1.62,"$215,911,357","$122,576,150","433,162,281",https://coinmarketcap.com/currencies/sxp/?period=7d,851037.47
Waves,$0.05003,-0.03,-1.32,-2.63,"$210,732,480","$18,652,872","32,249,146,929",https://coinmarketcap.com/currencies/waves/?period=7d,-110778.82
ICON,$7.37,0.56,0.04,-0.97,"$210,733,795","$112,185,515","208,951,236",https://coinmarketcap.com/currencies/icon/?period=7d,-277356.56
JasmyCoin,$0.02068,0.54,0.96,15.32,"$207,611,379","$39,682,875","72,714,516,834",https://coinmarketcap.com/currencies/jasmy/?period=7d,1538010.8
JUST,$1.16,0.39,0.77,5.99,"$200,869,620","$153,452,301","1,275,000,000",https://coinmarketcap.com/currencies/just/?period=7d,10372491.58
